"KODEPILKADA","KDWIL","JENISPILKADA","TAHUN PILKADA","BPSKDPROV","PROVINSI","BPSKDKAB","KAB_KOT","NCALON","NO","CALON KEPALA DAERAH","JENIS KELAMIN1","CALON WAKIL KEPALA DAERAH","JENIS KELAMIN2","SUARA FINAL","PCTSUARA","RANKING","MENANG","INCUMBENT","WAKIL INCUMBENT","PARTAI PENDUKUNG","MAJU LEWAT","KURSIPARTAI","PCTKURSI","PDIP","GOLKAR","GERINDRA","DEMOKRAT","PKB","NASDEM","PAN","PKS","PPP","HANURA","PBB","PKPI","PERINDO","BERKARYA","PSI","GARUDA","UMMAT","GELORA","BURUH","PKN","PKNU","PMB","PPDI","PARTAI ACEH (PA)","PARTAI NANGGROE ACEH (PNA)","PARTAI NASIONAL ACEH","PARTAI DARUL ACEH (PD ACEH)","PARTAI SIRA","PARTAI GENERASI ATJEH BEUSABOH THAAT DAN TAQWA","PARTAI ADIL SEJAHTERA ACEH","PARTAI DAMAI ACEH (PDA)","T1","T2","T3","T4","T5","PE2013","PE2014","PE2015","PE2016","PE2017","PE2018","PE2019","PE2020","PE2021","PE2022","INCUMBENTXT5","","","","",""
"PROV-13-1-2020","13","Gubernur","2020","13","SUMATERA BARAT","","","4","3","Irjen. Pol. (P). Drs. H. Fakhrizal, M.Hum","L","Dr. H. Genius Umar, S.Sos, M.Si.","L","220893","9.8556100677645","4","0","0","0","Golkar, Nasdem, PKB","PARTAI","14","22.58064516129","0","8","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.27","5.3","5.14","5.01","-1.61","6.08","5.88","5.53","5.27","5.3","5.14","5.01","-1.61","3.29","4.36","-0","","","","KAB-1111-1-2017","37"
"PROV-13-1-2020","13","Gubernur","2020","13","SUMATERA BARAT","","","4","4","H. Mahyeldi, SP","L","Ir. Audy Joinaldy, S.Pt, M.M, IPM, ASEAN.Eng","L","726853","32.430089430561","1","1","0","0","PKS, PPP","PARTAI","14","22.58064516129","0","0","0","0","0","0","0","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.27","5.3","5.14","5.01","-1.61","6.08","5.88","5.53","5.27","5.3","5.14","5.01","-1.61","3.29","4.36","-0","","","","KAB-1112-1-2017","19"
"PROV-14-1-2018","14","Gubernur","2018","14","RIAU","","","4","1","Drs. H. Syamsuar, M.Si","L","H. Edy Nasution","L","799289","38.197327058302","1","1","0","0","PAN, Nasdem, PKS","PARTAI","13","20","0","0","0","0","0","3","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.71","0.22","2.18","2.66","2.35","2.48","2.71","0.22","2.18","2.66","2.35","2.81","-1.13","3.36","4.55","0","","","","KAB-1113-1-2017","16"
"PROV-14-1-2018","14","Gubernur","2018","14","RIAU","","","4","2","Dr. Ir. H. Muhammad Lukman Edy, M.Si.","L","Hardianto, SE","L","369802","17.672516374946","4","0","0","0","PKB, Gerindra","PARTAI","13","20","0","0","7","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.71","0.22","2.18","2.66","2.35","2.48","2.71","0.22","2.18","2.66","2.35","2.81","-1.13","3.36","4.55","0","","","","KAB-1114-1-2017","30"
"PROV-14-1-2018","14","Gubernur","2018","14","RIAU","","","4","3","Dr. H. Firdaus S.T., M.T.","L","H. Rusli Effendi, SE, S.Pd.i, M.Si","L","416248","19.892130372574","3","0","0","0","Demokrat, PPP","PARTAI","14","21.538461538462","0","0","0","9","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.71","0.22","2.18","2.66","2.35","2.48","2.71","0.22","2.18","2.66","2.35","2.81","-1.13","3.36","4.55","0","","","","KAB-1115-1-2017","23"
"PROV-14-1-2018","14","Gubernur","2018","14","RIAU","","","4","4","Ir. H. Arsyadjuliandi Rahman, M.B.A.","L","H. Suyatno, AMP","L","507187","24.238026194179","2","0","0","0","Golkar, PDIP, Hanura","PARTAI","25","38.461538461538","9","14","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.71","0.22","2.18","2.66","2.35","2.48","2.71","0.22","2.18","2.66","2.35","2.81","-1.13","3.36","4.55","0","","","","KAB-1116-1-2017","18"
"PROV-15-1-2020","15","Gubernur","2020","15","JAMBI","","","3","1","Drs. H. Cek Endra","L","Hj. Ratu Munawaroh","P","587918","37.439256204926","2","0","0","0","Golkar dan PDIP","PARTAI","16","30.769230769231","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.37","4.6","4.69","4.35","-0.51","6.84","7.36","4.21","4.37","4.6","4.69","4.35","-0.51","3.7","5.12","-0","","","","KAB-1117-1-2017","24"
"PROV-15-1-2020","15","Gubernur","2020","15","JAMBI","","","3","2","Dr. Drs. H. Fachrori Umar, M. Hum","L","Drs. H. Syafril Nursal S.H., M.H","L","381634","24.302867240858","3","0","1","0","Gerindra, Demokrat, PPP, Hanura","PARTAI","19","36.538461538462","0","0","7","7","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.37","4.6","4.69","4.35","-0.51","6.84","7.36","4.21","4.37","4.6","4.69","4.35","-0.51","3.7","5.12","-0.51","","","","KAB-1118-1-2018","24"
"PROV-15-1-2020","15","Gubernur","2020","15","JAMBI","","","3","3","Dr. H. Al Haris, S.Sos., M.H","L","Drs. H. Abdullah Sani, M.Pd.I","L","600773","38.257876554216","1","1","0","0","PAN, PKS, PKB","PARTAI","17","32.692307692308","0","0","0","0","5","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.37","4.6","4.69","4.35","-0.51","6.84","7.36","4.21","4.37","4.6","4.69","4.35","-0.51","3.7","5.12","-0","","","","KAB-1171-1-2017","30"
"PROV-16-1-2018","16","Gubernur","2018","16","SUMATERA SELATAN","","","4","1","H. Herman Deru, SH, MM","L","Ir. H. Mawardi Yahya","L","1394438","35.961126730634","1","1","0","0","PAN, Nasdem, Hanura","PARTAI","16","21.333333333333","0","0","0","0","0","6","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.79","4.42","5.04","5.51","6.01","5.31","4.79","4.42","5.04","5.51","6.01","5.69","-0.11","3.58","5.23","0","","","","KAB-1172-1-2017","19"
